fold,train_weeks,test_start,test_end,LGBA_MAE,LGBA_RMSE,LGBA_MAPE,LGBA_R2,LGBB_MAE,LGBB_RMSE,LGBB_MAPE,LGBB_R2,LGBC_MAE,LGBC_RMSE,LGBC_MAPE,LGBC_R2
18,172,2017-05-21,2017-06-11,19.13998197718969,20.299066888345696,66.14030275178116,-5.042927465261707,12.92488730426697,13.644729200163084,41.163655239206314,-1.730392446500944,9.791211230320652,11.34641044146956,35.5179657748881,-0.8880444349226686
19,176,2017-06-18,2017-07-09,8.287564105395244,9.005069602270229,25.6249694356965,-0.718490671083047,9.061256864758883,10.66139738967569,30.662336841332245,-1.408803058025613,4.286812972510854,5.182823280187433,14.05722303709206,0.4307463384656355
20,180,2017-07-16,2017-08-06,15.815005080897365,18.663878782968645,143.33549173288714,-2.870448569170524,19.063463501677912,23.717844111724894,198.287018556774,-5.25040143675648,16.03959337230294,17.679832664251627,145.3061900228422,-2.4730720337326533
21,184,2017-08-13,2017-09-03,7.751093839124089,7.974533085882128,49.01895473653689,-2.699966716382763,8.885369316671362,10.548814297496866,61.79353492707988,-5.474326288469777,8.360800149306334,8.92478067532941,52.77756816221688,-3.634281315068119
22,188,2017-09-10,2017-10-01,29.51664138036845,40.161880191901794,83.91204377219596,-0.31063053825497833,28.076417153546693,38.12152105563686,83.74579397076761,-0.18084433911562803,24.75529523379318,31.039121695045626,94.31993239669113,0.21716351583984395
23,192,2017-10-08,2017-10-29,18.826839133151203,22.450381774403315,32.31540485955573,-3.122860055758369,14.132350516113517,18.957532450725537,22.77790067259808,-1.939779440656947,14.731774913206683,18.237804575649232,24.467676103839807,-1.7207976747613252
24,196,2017-11-05,2017-11-26,16.641820151005856,18.31713914339538,55.20089662674592,-0.04522612585204744,16.944414329475244,21.114692865406084,38.073904423461194,-0.38887929844370905,17.181528142922517,19.924073010802513,42.46424892677917,-0.23666257115199096
25,200,2017-12-03,2017-12-24,18.71453667868898,19.416716483812706,44.3889786975877,-1.3164908080661384,23.2187265126687,24.444357819066287,54.585317070254206,-2.67143858179138,20.443249087108914,24.53550354915018,48.01619800239323,-2.698869028635092
26,204,2017-12-31,2018-01-21,23.837049609879585,25.74186967822275,41.585238615315426,-2.1526320762681115,17.27966610369608,23.070461893660585,26.85991139541506,-1.5322448384744343,14.680318380314013,20.29816366461763,22.26115238148273,-0.9602281208711432
27,208,2018-01-28,2018-02-18,8.87482973215397,12.022394930061136,16.806142238875346,0.19762066913767584,13.305335454173626,15.255370992496088,26.78521685694385,-0.29194284060251374,9.435700503355289,12.30961326717188,19.99333452508117,0.15882458702032975
28,212,2018-02-25,2018-03-18,18.75067036692112,18.97428131731151,27.949673177411682,-29.80413702746325,18.567702751436123,20.721521851602017,27.235682963936153,-35.73852131306267,21.204942567069168,21.936647433542635,31.435133841491382,-40.173604331426965
29,216,2018-03-25,2018-04-15,3.135984856164013,4.255216043232797,5.351939601480406,-0.23280773273775512,4.534332435995861,5.095221079091796,8.154113082636783,-0.7675763639027309,13.038626481645931,13.953337542589827,23.15297504061909,-12.255872583996371
30,220,2018-04-22,2018-05-13,14.758608522952802,16.512694719879025,41.77180818831292,-0.012933687158284357,16.73470140547684,19.52975527922054,42.65525357502764,-0.41689841194796395,14.00402575470508,17.533064597492043,34.588584554426234,-0.14198599184519645
31,224,2018-05-20,2018-06-10,9.581837265811888,10.058200594209925,29.963624727545135,-0.024479991831543035,9.796510405694567,11.950173466946817,29.302634794209435,-0.44614324952019935,11.060217033776066,13.545534160347975,26.849036765537715,-0.8580404626749765
32,228,2018-06-17,2018-07-08,11.08860492544083,14.566318889390372,53.92147679342681,-1.6794335720588571,7.8222706539076095,8.997627581343743,33.15028068941391,-0.02234951340246427,8.80943318278068,11.079046195919442,34.9565312399185,-0.5500585901981632
33,232,2018-07-15,2018-08-05,15.563815189554466,17.94516496644312,246.24430956928464,-4.908787993997384,16.97450776802043,19.292382698651277,255.16856351622397,-5.829284957637049,14.533176968136047,16.289969485079208,218.90604091366362,-3.869047813299299
34,236,2018-08-12,2018-09-02,19.003892283024438,27.017566959935593,38.399830412742105,-0.21354767154547516,21.132080826479537,29.69129342745657,42.32631666772089,-0.4656241153704501,20.829916066326966,30.138366764186152,39.86636220115446,-0.510093351974398
35,240,2018-09-09,2018-09-30,11.53968393441195,14.508005922996169,21.015489271670614,-1.0497357113737498,23.700111114453392,27.904922974187794,44.545404277965815,-6.583052720100827,11.163122350456817,13.6534646407101,20.627254773240118,-0.8153825606341665
36,244,2018-10-07,2018-10-28,26.32523321489372,34.873320931446834,30.29506442552402,-1.1630031352382173,37.226065926350316,43.95846321323824,45.57114825424339,-2.4368101166200438,21.938469000295775,31.73570027450128,23.975947931493092,-0.7912933248785781
37,248,2018-11-04,2018-11-25,27.121452656530675,31.81038885796346,32.33853019454651,-1.193822957820804,27.213285181944393,31.543522813667124,32.79652457069119,-1.1571681983660453,29.32403518867573,30.779201717873953,38.932109586293016,-1.05389541114271
38,252,2018-12-02,2018-12-23,14.010960207659878,19.780864364506645,16.958313054056664,-0.39370470171686134,15.701715831819053,20.202320630407335,21.005789568787474,-0.4537266566474867,16.590006054497575,24.49404090499284,19.443020149376693,-1.1369832229936332
39,256,2018-12-30,2019-01-20,28.07492663629186,33.38503483174846,31.948742046001545,-0.2691601175341918,28.635860733796065,33.841476315497054,32.64619125187902,-0.3041013669772663,27.16239887328807,33.85860031926263,29.074993214718308,-0.3054214681711722
40,260,2019-01-27,2019-02-17,33.58092309334291,41.084200714051754,46.78930205328895,-0.31900291931623204,31.208313572440815,36.77879044490271,46.35592434071634,-0.05703886815340997,31.7400623941507,37.70252163859818,51.698146288516234,-0.1108025497701306
41,264,2019-02-24,2019-03-17,32.72350148438129,34.98176718100711,76.66668576888995,-1.0151898478488035,31.374166785465214,34.96232011509747,72.1439406039728,-1.0129499017382448,28.429032558160735,29.82892246518018,69.57522503691018,-0.46523608963973806
42,268,2019-03-24,2019-04-14,12.718261457436174,17.839015910847834,25.164301225941045,-1.3144035539453247,18.267732503932038,20.9449449801215,32.2030000262146,-2.190477965238669,14.64813901793887,17.49263767027027,27.76982568819203,-1.2253990739153342
43,272,2019-04-21,2019-05-12,26.194828143039036,35.23286953260347,30.108864389424596,-0.22338660474427652,21.33503139176164,33.027722664627156,22.064500827725116,-0.07504080262300117,27.594554049783394,37.83952026086104,31.689315898848054,-0.41110370786287764
44,276,2019-05-19,2019-06-09,14.153368036310185,19.953485269153425,44.30199563083516,-0.7582416538739376,19.80206048605875,22.94304889975356,53.25071882761995,-1.324573575136259,19.431951446357548,23.097574067232404,53.45406277645619,-1.3559917859467188
45,280,2019-06-16,2019-07-07,14.709952077226946,18.08192670820066,69.91848980594078,-9.37955788827747,14.067832342726494,15.340382406772694,62.08129069909438,-6.470708964635594,22.85542952723523,23.768096006421537,102.96176527955927,-16.934044056205444
46,284,2019-07-14,2019-08-04,7.850327103095714,8.70966956935047,40.40086850433629,0.5888436639172379,10.288539895429809,11.925664941633325,36.917807315052166,0.22915184661191224,7.390141043031498,10.25143046718855,41.20250530243823,0.43039660366611565
47,288,2019-08-11,2019-09-01,15.266328141765719,17.639163685750038,51.86166846369466,0.16021566657845376,17.31424028611889,18.865424619106303,65.36689919975893,0.0393947474785904,19.484226827126914,21.0565783777901,75.67271756978067,-0.19670578402163974
48,292,2019-09-08,2019-09-29,12.147497329234007,13.694333864798205,58.544586373218124,-1.2656752663090058,11.072342168377157,13.21563229355222,54.08434682429453,-1.1100450773079102,27.942725056154284,28.730730108244007,120.76049703531142,-8.972617574606476
