week_date,actual_R03,pred_A,pred_B,fold,train_weeks,iso_week,seasonal_mean,in_off_season,pred_switched
2017-09-03,16.0,21.48537254333496,26.99013328552246,21,184,35,13.75,True,13.75
2017-09-10,8.0,17.277292251586914,19.986019134521484,22,188,36,16.25,True,16.25
2017-09-17,30.0,36.812381744384766,18.20018768310547,22,188,37,29.75,True,29.75
2017-09-24,19.0,55.46540832519531,37.2561149597168,22,188,38,27.25,True,27.25
2017-10-01,98.0,12.102792739868164,20.68803977966309,22,188,39,38.75,True,38.75
2017-10-08,49.0,20.672155380249023,45.11000061035156,23,192,40,56.5,False,45.11000061035156
2017-10-15,52.0,46.12444305419922,46.34397506713867,23,192,41,45.75,False,46.34397506713867
2017-10-22,44.0,76.68310546875,35.11048889160156,23,192,42,37.75,False,35.11048889160156
2017-10-29,73.0,26.641082763671875,34.389305114746094,23,192,43,43.0,False,34.389305114746094
2017-11-05,35.0,56.78860092163086,40.06674575805664,24,196,44,37.25,False,40.06674575805664
2017-11-12,51.0,28.32520294189453,43.15679550170898,24,196,45,36.25,False,43.15679550170898
2017-11-19,69.0,62.86033630371094,41.1339111328125,24,196,46,45.75,False,41.1339111328125
2017-11-26,21.0,44.87437057495117,40.96117401123047,24,196,47,34.75,False,40.96117401123047
2017-12-03,40.0,18.521465301513672,20.192352294921875,25,200,48,33.5,False,20.192352294921875
2017-12-10,64.0,32.591697692871094,29.789520263671875,25,200,49,50.0,False,29.789520263671875
2017-12-17,34.0,35.77141189575195,51.36583709716797,25,200,50,53.75,False,51.36583709716797
2017-12-24,32.0,50.45138931274414,55.24538803100586,25,200,51,36.5,False,55.24538803100586
2017-12-31,63.0,21.86859130859375,46.4161262512207,26,204,52,55.5625,False,46.4161262512207
2018-01-07,39.0,39.29278564453125,55.92756652832031,26,204,1,36.7265625,False,55.92756652832031
2018-01-14,44.0,28.29256820678711,51.507911682128906,26,204,2,33.916666667499996,False,51.507911682128906
2018-01-21,75.0,36.81983947753906,43.94995880126953,26,204,3,49.604166667499996,False,43.94995880126953
2018-01-28,47.0,48.37977600097656,45.80912780761719,27,208,4,55.604166667499996,False,45.80912780761719
2018-02-04,34.0,44.724853515625,50.48881912231445,27,208,5,36.866666666,False,50.48881912231445
2018-02-11,71.25,45.85203552246094,69.99897003173828,27,208,6,48.65,False,69.99897003173828
2018-02-18,48.0,50.22077178955078,49.34367370605469,27,208,7,41.8,False,49.34367370605469
2018-02-25,70.0,54.19363021850586,50.52498626708984,28,212,8,55.4,False,50.52498626708984
2018-03-04,68.0,54.05672073364258,52.06651306152344,28,212,9,39.6,False,52.06651306152344
2018-03-11,68.0,30.122896194458008,54.09442138671875,28,212,10,36.6,False,54.09442138671875
2018-03-18,61.0,30.122896194458008,50.25594711303711,28,212,11,47.6,False,50.25594711303711
2018-03-25,58.0,52.69028091430664,56.360782623291016,29,216,12,45.2,False,56.360782623291016
2018-04-01,51.0,50.4207763671875,55.63032913208008,29,216,13,46.4,False,55.63032913208008
2018-04-08,60.0,49.55942535400391,47.178314208984375,29,216,14,41.8,False,47.178314208984375
2018-04-15,52.0,45.70480346679688,62.090274810791016,29,216,15,44.4,False,62.090274810791016
2018-04-22,28.0,48.10589599609375,44.07069778442383,30,220,16,25.775,False,44.07069778442383
2018-04-29,66.0,36.23557662963867,35.057167053222656,30,220,17,32.2,False,35.057167053222656
2018-05-06,26.0,46.07959365844727,26.75567626953125,30,220,18,24.6,False,26.75567626953125
2018-05-13,31.0,19.42156219482422,44.0967903137207,30,220,19,26.2,False,44.0967903137207
2018-05-20,47.0,47.734317779541016,43.88414001464844,31,224,20,34.8,False,43.88414001464844
2018-05-27,31.0,45.53295516967773,31.96489524841309,31,224,21,21.0,False,31.96489524841309
2018-06-03,45.0,45.39591217041016,39.02065658569336,31,224,22,38.8,True,38.8
2018-06-10,23.0,32.091392517089844,18.78464698791504,31,224,23,33.6,True,33.6
2018-06-17,16.0,47.0402946472168,24.26068878173828,32,228,24,28.8,True,28.8
2018-06-24,29.0,19.92110824584961,37.740535736083984,32,228,25,33.6,True,33.6
2018-07-01,31.0,23.665283203125,47.32034683227539,32,228,26,27.8,True,27.8
2018-07-08,41.0,29.14203643798828,36.18131637573242,32,228,27,27.2,True,27.2
2018-07-15,11.0,27.316171646118164,9.584911346435549,33,232,28,21.0,True,21.0
2018-07-22,24.0,25.56450462341309,24.96324157714844,33,232,29,16.8,True,16.8
2018-07-29,4.0,28.2040958404541,33.87517547607422,33,232,30,11.2,True,11.2
2018-08-05,9.0,20.07975959777832,18.90373420715332,33,232,31,19.6,True,19.6
2018-08-12,13.0,26.86177635192871,23.41152572631836,34,236,32,10.4,True,10.4
2018-08-19,28.0,16.71615219116211,30.451753616333008,34,236,33,15.0,True,15.0
2018-08-26,79.0,33.99417495727539,31.63949584960937,34,236,34,17.0,True,17.0
2018-09-02,36.0,23.29374313354492,12.585994720458984,34,236,35,13.75,True,13.75
2018-09-09,43.0,30.95127487182617,21.71859359741211,35,240,36,16.25,True,16.25
2018-09-16,42.0,34.51837158203125,28.01014709472656,35,240,37,29.75,True,29.75
2018-09-23,47.0,65.54796600341797,31.307077407836918,35,240,38,27.25,True,27.25
2018-09-30,67.0,39.48212814331055,16.40229606628418,35,240,39,38.75,True,38.75
2018-10-07,63.0,67.9512939453125,42.65901184082031,36,244,40,56.5,False,42.65901184082031
2018-10-14,56.0,44.22517776489258,34.70154571533203,36,244,41,45.75,False,34.70154571533203
2018-10-21,67.0,45.77413558959961,43.44860076904297,36,244,42,37.75,False,43.44860076904297
2018-10-28,116.0,50.17155075073242,41.80150604248047,36,244,43,43.0,False,41.80150604248047
2018-11-04,46.0,36.140872955322266,42.61090850830078,37,248,44,37.25,False,42.61090850830078
2018-11-11,93.0,48.593040466308594,69.49871826171875,37,248,45,36.25,False,69.49871826171875
2018-11-18,100.0,32.1933479309082,41.051536560058594,37,248,46,45.75,False,41.051536560058594
2018-11-25,67.0,36.140872955322266,45.33241653442383,37,248,47,34.75,False,45.33241653442383
2018-12-02,70.0,91.05855560302734,84.6224365234375,38,252,48,33.5,False,84.6224365234375
2018-12-09,56.0,90.945068359375,84.0102767944336,38,252,49,50.0,False,84.0102767944336
2018-12-16,98.0,90.6737060546875,86.6116943359375,38,252,50,53.75,False,86.6116943359375
2018-12-23,58.0,73.07833862304688,66.2956314086914,38,252,51,36.5,False,66.2956314086914
2018-12-30,96.0,51.39375686645508,80.40982055664062,39,256,52,55.5625,False,80.40982055664062
2019-01-06,54.0,93.92413330078124,80.0150146484375,39,256,1,36.7265625,False,80.0150146484375
2019-01-13,50.0,92.41582489013672,81.08037567138672,39,256,2,33.916666667499996,False,81.08037567138672
2019-01-20,121.0,71.32815551757812,89.98982238769531,39,256,3,49.604166667499996,False,89.98982238769531
2019-01-27,93.0,47.4598274230957,60.22590637207031,40,260,4,55.604166667499996,False,60.22590637207031
2019-02-03,131.0,80.40548706054688,76.3758544921875,40,260,5,36.866666666,False,76.3758544921875
2019-02-10,62.0,56.30597686767578,61.1243896484375,40,260,6,48.65,False,61.1243896484375
2019-02-17,35.0,65.78129577636719,57.57895278930664,40,260,7,41.8,False,57.57895278930664
2019-02-24,31.0,88.31864166259766,66.81141662597656,41,264,8,55.4,False,66.81141662597656
2019-03-03,57.0,88.59422302246094,68.85502624511719,41,264,9,39.6,False,68.85502624511719
2019-03-10,26.0,33.40147399902344,38.4952392578125,41,264,10,36.6,False,38.4952392578125
2019-03-17,88.0,50.16831207275391,32.57844924926758,41,264,11,47.6,False,32.57844924926758
2019-03-24,74.0,56.73164367675781,59.11329650878906,42,268,12,45.2,False,59.11329650878906
2019-03-31,53.0,53.917930603027344,48.40920639038086,42,268,13,46.4,False,48.40920639038086
2019-04-07,51.0,55.83421325683594,45.59116744995117,42,268,14,41.8,False,45.59116744995117
2019-04-14,42.0,65.3388671875,49.82747268676758,42,268,15,44.4,False,49.82747268676758
2019-04-21,36.0,34.82556915283203,57.63129806518555,43,272,16,25.775,False,57.63129806518555
2019-04-28,62.0,54.34861755371094,50.89287185668945,43,272,17,32.2,False,50.89287185668945
2019-05-05,64.0,39.91054534912109,47.44921112060547,43,272,18,24.6,False,47.44921112060547
2019-05-12,123.0,49.478759765625,39.05872344970703,43,272,19,26.2,False,39.05872344970703
2019-05-19,61.29166667,55.09261703491211,80.49000549316406,44,276,20,34.8,False,80.49000549316406
2019-05-26,65.0,68.21560668945312,60.37478256225586,44,276,21,21.0,False,60.37478256225586
2019-06-02,27.0,70.90371704101562,63.10123443603516,44,276,22,38.8,True,38.8
2019-06-09,45.0,52.83696746826172,55.31533050537109,44,276,23,33.6,True,33.6
2019-06-16,23.0,50.63850402832031,46.112213134765625,45,280,24,28.8,True,28.8
2019-06-23,32.0,26.450279235839844,43.49159240722656,45,280,25,33.6,True,33.6
2019-06-30,28.0,37.03254318237305,31.45799827575684,45,280,26,27.8,True,27.8
2019-07-07,17.0,38.41605758666992,27.454877853393555,45,280,27,27.2,True,27.2
2019-07-14,15.0,25.54262351989746,22.462661743164062,46,284,28,21.0,True,21.0
2019-07-21,15.0,25.1501407623291,26.097431182861328,46,284,29,16.8,True,16.8
2019-07-28,30.0,21.049484252929688,29.510780334472656,46,284,30,11.2,True,11.2
2019-08-04,48.0,26.62409782409668,40.386863708496094,46,284,31,19.6,True,19.6
2019-08-11,66.0,47.99232482910156,35.457008361816406,47,288,32,10.4,True,10.4
2019-08-18,35.0,39.375762939453125,44.97506713867188,47,288,33,15.0,True,15.0
2019-08-25,24.0,51.65085220336914,37.09129333496094,47,288,34,17.0,True,17.0
2019-09-01,15.0,20.117164611816406,37.221168518066406,47,288,35,13.75,True,13.75
2019-09-08,15.0,44.55316162109375,34.55026626586914,48,292,36,16.25,True,16.25
2019-09-15,30.0,23.222280502319336,25.36426544189453,48,292,37,29.75,True,29.75
2019-09-22,26.0,36.1155891418457,36.33616638183594,48,292,38,27.25,True,27.25
2019-09-29,40.41666667,29.620609283447266,32.773075103759766,48,292,39,38.75,True,38.75
