week_date,R03,R06,flu_au_positives,flu_au_lagged,flu_eu_positives,R03_lag1,R03_lag4_avg,R06_lag1,trends_gripe_es_lag1,trends_resfriado_es_lag1,trends_paracetamol_es_lag1,temp_europe_lag12,humidity_europe_lag0,temp_eu,humidity_eu,trends_gripe_es,trends_flu_eu,trends_flu_composite,RSV,R03_lag4,R03_lag8,R03_lag26,R03_lag52,R03_roll4,R03_roll8,flu_au_lag26,flu_au_lag27,flu_au_lag28,flu_au_roll4_lag26,flu_au_roll8_lag26,flu_eu_lag1,flu_eu_lag2,temp_eu_lag2,temp_eu_lag4,temp_eu_lag8,temp_eu_roll4,trends_flu_eu_lag1,trends_composite_lag1,RSV_lag1,RSV_lag2,RSV_lag4,RSV_lag8,RSV_roll4,week_num,week_sin,week_cos,month_sin,month_cos,year_num
2017-11-19,69.0,8.9,49.0,32.0,281.0,51.0,50.75,8.5,9.0,91.0,59.0,20.74710424710425,81.74710424710426,7.971042471042471,82.39189189189189,9.0,13.0,0.0,2109.0,44.0,19.0,27.0,22.0,50.75,52.625,32.0,19.0,27.0,17.75,23.25,187.0,124.0,12.042857142857144,14.995945945945946,16.445752895752896,12.890540540540542,13.0,0.0,1378.0,1041.0,562.0,20.0,937.0,46.0,-0.6631226582407955,0.7485107481711007,-0.5000000000000004,0.8660254037844384,3
2017-11-26,21.0,7.0,35.0,41.0,453.0,69.0,57.0,8.9,9.0,91.0,59.0,19.32934362934363,81.72007722007721,7.056370656370656,81.74710424710426,9.0,13.0,0.0,2378.0,73.0,98.0,23.0,48.0,57.0,58.875,41.0,32.0,19.0,23.0,22.75,281.0,187.0,9.855212355212355,14.668146718146716,15.106756756756758,11.134314671814671,13.0,0.0,2109.0,1378.0,767.0,132.0,1323.75,47.0,-0.5680647467311559,0.8229838658936564,-0.5000000000000004,0.8660254037844384,3
2017-12-03,40.0,17.5,43.0,27.0,712.0,21.0,44.0,7.0,9.0,91.0,59.0,18.02664092664093,84.71042471042472,7.661776061776061,81.72007722007721,18.0,13.0,30.666666666666668,2575.0,35.0,49.0,44.0,55.0,44.0,49.25,27.0,41.0,32.0,29.75,22.875,453.0,281.0,7.971042471042471,12.042857142857144,15.778957528957529,9.231370656370657,13.0,0.0,2378.0,2109.0,1041.0,189.0,1726.5,48.0,-0.4647231720437684,0.88545602565321,-2.4492935982947064e-16,1.0,3
2017-12-10,64.0,13.0,30.0,31.0,1340.0,40.0,45.25,17.5,18.0,91.0,59.0,16.445752895752896,82.46911196911196,3.60019305019305,84.71042471042472,18.0,13.0,0.0,2879.0,51.0,52.0,37.0,71.0,45.25,48.125,31.0,27.0,41.0,29.75,23.625,712.0,453.0,7.056370656370656,9.855212355212355,14.098841698841698,8.136100386100386,13.0,30.666666666666668,2575.0,2378.0,1378.0,345.0,2110.0,49.0,-0.35460488704253595,0.9350162426854147,-2.4492935982947064e-16,1.0,3
2017-12-17,34.0,12.0,32.0,51.0,2733.0,64.0,48.5,13.0,18.0,70.0,59.0,15.106756756756758,84.53861003861003,4.364864864864865,82.46911196911196,18.0,13.0,0.0,2863.0,69.0,44.0,40.0,88.0,48.5,49.625,51.0,31.0,27.0,32.75,25.25,1340.0,712.0,7.661776061776061,7.971042471042471,14.995945945945946,6.57234555984556,13.0,0.0,2879.0,2575.0,2109.0,562.0,2485.25,50.0,-0.2393156642875578,0.970941817426052,-2.4492935982947064e-16,1.0,3
2017-12-24,32.0,5.6,30.0,88.0,5290.0,34.0,39.75,12.0,18.0,70.0,59.0,15.778957528957529,86.44787644787644,4.715637065637066,84.53861003861003,18.0,13.0,0.0,2915.0,21.0,73.0,23.0,31.0,39.75,48.375,88.0,51.0,31.0,37.5,30.25,2733.0,1340.0,3.60019305019305,7.056370656370656,14.668146718146716,5.670801158301158,13.0,0.0,2863.0,2879.0,2378.0,767.0,2673.75,51.0,-0.12053668025532363,0.992708874098054,-2.4492935982947064e-16,1.0,3
2017-12-31,63.0,11.0,29.0,82.0,8558.0,32.0,42.5,5.6,18.0,70.0,59.0,14.098841698841698,84.87644787644788,4.49015444015444,86.44787644787644,18.0,13.0,0.0,3126.0,40.0,35.0,39.0,55.25,42.5,43.25,82.0,88.0,51.0,49.25,39.5,5290.0,2733.0,4.364864864864865,7.661776061776061,12.042857142857144,5.085617760617761,13.0,0.0,2915.0,2863.0,2575.0,1041.0,2808.0,52.0,6.432490598706546e-16,1.0,-2.4492935982947064e-16,1.0,3
2018-01-07,39.0,16.0,47.0,170.0,11106.0,63.0,48.25,11.0,18.0,70.0,59.0,14.995945945945946,85.11389961389962,5.884942084942085,84.87644787644788,35.0,28.000000000000004,41.0,2515.0,64.0,51.0,37.0,47.65625,48.25,46.75,170.0,82.0,88.0,63.0,46.375,8558.0,5290.0,4.715637065637066,3.60019305019305,9.855212355212355,4.292712355212355,13.0,0.0,3126.0,2915.0,2879.0,1378.0,2945.75,1.0,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,4
2018-01-14,44.0,6.0,30.0,284.0,10215.0,39.0,42.0,16.0,35.0,70.0,59.0,14.668146718146716,83.73745173745174,6.513513513513514,85.11389961389962,35.0,28.000000000000004,0.0,2311.0,34.0,69.0,25.0,31.66666667,42.0,45.25,284.0,170.0,82.0,97.75,65.25,11106.0,8558.0,4.49015444015444,4.364864864864865,7.971042471042471,4.863899613899614,28.000000000000004,41.0,2515.0,3126.0,2863.0,2109.0,2854.75,2.0,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,4
2018-01-21,75.0,9.5,36.0,437.0,10597.0,44.0,44.5,6.0,35.0,59.0,48.0,12.042857142857144,82.15444015444017,3.1849420849420853,83.73745173745174,35.0,28.000000000000004,0.0,2202.0,32.0,21.0,31.0,45.41666667,44.5,42.125,437.0,284.0,170.0,156.0,96.75,10215.0,11106.0,5.884942084942085,4.715637065637066,7.056370656370656,5.401061776061776,28.000000000000004,0.0,2311.0,2515.0,2915.0,2378.0,2716.75,3.0,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,4
