fold,train_weeks,test_start,test_end,A_MAE,A_RMSE,A_MAPE,A_R2,B_MAE,B_RMSE,B_MAPE,B_R2
17,168,2017-04-23,2017-05-14,13.691740989685059,18.84694698988095,63.5169157198259,-1.1695807880628677,7.423832416534424,9.739330127068552,32.358855328637674,0.42063536420419967
18,172,2017-05-21,2017-06-11,21.165688514709473,26.169686691252195,76.21060168924203,-9.04366638340315,12.951432704925537,13.78140501803602,43.0436833320617,-1.7853657088344401
19,176,2017-06-18,2017-07-09,3.2574338912963867,4.143147518528601,9.1170051773206,0.6362241830931983,11.711323738098145,14.102579329026542,37.904578365627756,-3.2147336419917707
20,180,2017-07-16,2017-08-06,13.604854822158813,15.416192442721306,118.67151136002782,-1.6406554381224168,14.647560596466064,20.419934837000795,168.75678869326543,-3.6330415416373194
21,184,2017-08-13,2017-09-03,11.547873497009277,12.932276415419421,75.48832369023475,-8.730546809298236,9.92233419418335,11.97815086775664,69.03004472670348,-7.347700259533912
22,188,2017-09-10,2017-10-01,34.61307239532471,47.01205408181462,104.5618763735676,-0.7958525043859328,29.83847665786743,40.59964640221761,91.0331294522079,-0.3393581132376018
23,192,2017-10-08,2017-10-29,28.31135606765747,31.836785094565766,51.72405675037894,-7.291050185337953,14.261557579040527,20.105545755842623,22.97763562077584,-2.3066091627016885
24,196,2017-11-05,2017-11-26,18.61935806274414,19.978554704995464,57.324768533777515,-0.24343504081151535,15.184303283691406,17.763411454724928,41.32352360446768,0.017013126137530254
25,200,2017-12-03,2017-12-24,18.277409553527832,21.16247016704891,41.41060892273398,-1.7517673952149622,23.65733814239502,24.518463421448384,56.672705727465015,-2.693733017197557
26,204,2017-12-31,2018-01-21,23.827946662902832,29.13900553996504,38.161068010811846,-3.0396391025066345,18.017348289489746,19.887440592970155,32.04777910929301,-0.8817022579312144
27,208,2018-01-28,2018-02-18,9.930841445922852,13.846612326559207,18.688063564511616,-0.06435086778786658,5.068598747253418,8.316698077314474,13.896362301944349,0.6160279403934337
28,212,2018-02-25,2018-03-18,24.625964164733887,26.60980502786042,37.35129422828799,-59.584532502309806,15.014533042907715,15.345617899938429,22.32890709912355,-19.148704918152788
29,216,2018-03-25,2018-04-15,5.6561784744262695,6.655143032197992,9.949381403675774,-2.015552597720067,7.295376777648926,8.519628128039242,13.169791135114881,-3.9418936810265492
30,220,2018-04-22,2018-05-13,20.38208770751953,21.374156450445767,57.8708470830032,-0.6971611384931782,15.216499328613281,18.62674959028249,37.358146833100356,-0.28890011720116604
31,224,2018-05-20,2018-06-10,6.1886444091796875,8.581319433975304,22.212619294347085,0.2542881698438255,3.5688629150390625,4.0050391687045686,10.339276562310214,0.8375661899457439
32,228,2018-06-17,2018-07-08,14.827966690063477,17.60919885740102,69.47265098644043,-2.9158185875232,9.535063743591309,10.418845625824435,36.542062569681384,-0.3708267614808012
33,232,2018-07-15,2018-08-05,13.291132926940918,15.630614672020416,220.7646095993543,-3.4828644958748605,10.539309978485107,15.76023771398737,218.44970674225777,-3.557524638557612
34,236,2018-08-12,2018-09-02,20.714426517486572,25.032215824495943,59.79826551793991,-0.041748676781621086,20.909447193145752,26.952012727969564,53.458457789158196,-0.20766581893372127
35,240,2018-09-09,2018-09-30,16.3990478515625,18.04443719948045,31.592224994342473,-2.1708018390358497,25.39047145843506,29.389665299348344,47.927243620100235,-7.411466112308899
36,244,2018-10-07,2018-10-28,25.945107460021973,35.16775440987584,29.328680700969446,-1.1996815477693943,34.847333908081055,41.61569675467409,42.35894948419146,-2.080242270123595
37,248,2018-11-04,2018-11-25,38.23296642303467,43.64403804613075,45.76183859410087,-3.129652156037092,26.87660503387451,33.571571677719376,30.98148146777176,-1.4434697559073162
38,252,2018-12-02,2018-12-23,19.60206413269043,22.05476958240312,31.48962608783032,-0.7325480368046089,15.57916259765625,17.298137633497785,24.207769822772327,-0.06580789167384626
39,256,2018-12-30,2019-01-20,44.15451145172119,44.3002474081808,61.57029442671136,-1.2347299641887752,25.92393684387207,26.6807774889328,38.0511801523793,0.1893941926821513
40,260,2019-01-27,2019-02-17,33.15250110626221,37.462054558640936,46.18004018591875,-0.09667831541262206,27.713200569152832,33.7953927634392,35.715587583223765,0.10749415616303293
41,264,2019-02-24,2019-03-17,33.53650665283203,37.97907331419842,77.94626691678522,-1.375314960568561,28.895808219909668,34.097941652531155,61.83915948140882,-0.914647385655692
42,268,2019-03-24,2019-04-14,11.589841842651367,14.72337483482273,22.52878552726527,-0.5765655747395728,8.178450584411621,9.127076818701484,14.505358841311955,0.39415613633106905
43,272,2019-04-21,2019-05-12,26.609127044677734,38.876720322487316,28.254096568626004,-0.4895220282430779,33.3076229095459,44.4728790191277,43.02680244764902,-0.9492079761009855
44,276,2019-05-19,2019-06-09,15.28883520845459,22.570571392167373,48.77073674191179,-1.2497079475320363,17.560030300578614,21.211282499863316,48.76746751078024,-0.9868948829751008
45,280,2019-06-16,2019-07-07,15.90920639038086,18.26828306369146,73.9365445835816,-9.594608447465275,12.129170417785645,14.031155645964947,52.56209619993879,-5.249946944802985
46,284,2019-07-14,2019-08-04,12.754795551300049,13.704134359288549,53.07998597621918,-0.017904057113457883,6.66561222076416,7.698108196586029,35.30634641647338,0.6788028736783469
47,288,2019-08-11,2019-09-01,13.787863731384277,16.838784602814076,47.27821276817487,0.2346972553307195,18.957630157470703,20.60059825661298,69.366407724686,-0.14543764785523794
48,292,2019-09-08,2019-09-29,14.310631911793212,16.868660603113216,71.3078706115115,-2.4377717699155723,10.541439693012695,11.926480761985998,51.113505545383994,-0.7184641016450171
